Name,Company,City,State/Country,Phone,WhatsApp,Email,Website,LinkedIn,Instagram,Role,Speciality,Priority Notes
CBI Distributing Corp Marketing,CBI Distributing Corp (Claire's),Hoffman Estates,IL USA,+18477651100,,ARRIVAL.NOTICE@CLAIRES.COM,https://www.clairestores.com,,,Major US Importer & Distributor,Costume jewelry / fashion accessories — one of USA's largest jewelry importers,HIGH — bulk importer verified on Panjiva/Seair
Silver Palace Inc Marketing,Silver Palace Inc,Los Angeles,CA USA,+12134889906,,via silverpalaceinc.com,https://silverpalaceinc.com,https://www.linkedin.com/company/silver-palace-inc,,Direct Importer & Wholesaler,925 Sterling silver + gemstone jewelry from India/Indonesia — 15+ years,HIGH — India is primary source country
Vetta Jewelry Inc Marketing,Vetta Jewelry Inc,Warwick,RI USA,,,,https://www.vettajewelry.com,https://www.linkedin.com/company/vetta-jewelry-inc.,,Importer (1259 verified shipments from India),Fine jewelry importer — 9 verified Indian suppliers,HIGH — 1259 India shipments on ImportYeti/ImportGenius
Pafco Jewelry Marketing,Pafco Jewelry Inc,New York,NY USA,+12129445776,,info@pafcocasting.com,https://pafcocasting.com,,,Diamond District Importer & Caster,Gold/silver casting + import — Manhattan Diamond District (47th St),HIGH — NYC Diamond District location
CB Import Marketing,CB Import,Los Angeles,CA USA,,,,https://www.importyeti.com/company/cb-import,,,Importer (78 India shipments),Top supplier: Shree Garments (India) — active India import record,MEDIUM — 78 verified India shipments
Silver Jewelry Factory Marketing,Silver Factory / Silver Jewelry Factory,Dallas,TX USA,,,,https://www.directsilverfactory.com,https://www.facebook.com/directsilverfactory/,,Importer & Wholesaler,925 Sterling silver jewelry — Harry Hines Blvd wholesale district,HIGH — TX-based active importer
Jewelry Unlimited Marketing,Jewelry Unlimited,Atlanta,GA USA,,,,https://www.jewelryunlimited.com,,,Importer & Retailer,Fine jewelry — imports from Indian suppliers (SSB Mart),MEDIUM — Atlanta-based buyer
AA Jewelry Supply Marketing,A&A Jewelry Supply,Los Angeles,CA USA,,,,https://www.importyeti.com/company/a-a-jewelry-supply,,,Importer & Distributor,Supplier: Jewel Pak International (India) — Jewelry District LA,MEDIUM — LA Jewelry District importer
Impex Fashions Marketing,Impex Fashions (US Office),Flushing,NY USA,+917979060519,+919832229998,support@impexfashions.com,https://www.impexfashions.com,https://www.linkedin.com/in/impexfashions/,,Indian Fashion Jewelry Wholesaler (US base),Necklaces bangles earrings — ships wholesale to US retailers,MEDIUM — US address + WhatsApp confirmed
SG NYC Marketing,SG@NYC,New York,NY USA,,,,https://www.importyeti.com/company/sg-nyc,,,Importer — bracelets necklaces rings,Imitation/fashion jewelry importer — 28 W 27th St NYC,MEDIUM — NYC based with active import records
New Life Accessories Marketing,New Life Accessories,New York,NY USA,,,,https://www.importyeti.com/company/new-life-accessories,,,Importer — imitation jewelry,Fashion accessories + imitation jewelry — 19 W 34th St NYC,MEDIUM — active NY importer
Industrial Granitos Y Marmoles Marketing,Industrial Granitos Y Marmoles,New York,NY USA,,,,https://www.importyeti.com/company/industrial-granitos-y-marmoles,,,Importer — stone + jewelry accessories,Active India-linked import records,LOW-MEDIUM
Padmavati Jewellery Marketing,Padmavati Jewellery (US Distributor Network),Mumbai/USA,,,,sales@padmavatijewellery.com,https://www.padmavatijewellery.com,,,Manufacturer + US Wholesale Distributor,Imitation/fashion jewelry — customers in CA NY TX IL FL VA PA GA MD MA MI,MEDIUM — active US distribution network
Kanhai Jewels Marketing,Kanhai Jewels,Mumbai,India (ships to USA),,,via website,https://www.kanhaijewels.com,,,B2B Imitation Jewelry Wholesale to USA/UK,Supplies Instagram stores online sellers boutiques — bulk wholesale,MEDIUM — large USA client base
Mangalmani Jewellers Marketing,Mangalmani Jewellers,India (US operations),,,,,https://www.mangalmanijewellers.com,,,Imitation Jewelry Manufacturer + USA Wholesaler,Leading USA-facing imitation jewelry exporter from India,MEDIUM
Eindiawholesale Marketing,Eindiawholesale / Jaipur Mart,Jaipur,India (Alibaba verified ships to USA),,,via website,https://eindiawholesale.com,,,Fashion & ethnic jewelry wholesale to USA,Alibaba verified since 2008 — key markets USA Canada UK,MEDIUM — verified bulk supplier
Akrati Jewels Inc Marketing,Akrati Jewels Inc,Jaipur,India (USA HQ),,,via website,https://www.akratijewelsinc.com,,,925 Silver + Gemstone jewelry wholesale USA,Handcrafted silver jewelry factory in Jaipur — bulk shipments to US,MEDIUM
JewelEMarket Marketing,JewelEMarket,India (B2B platform),,,,,https://jewelemarket.com,,,B2B e-commerce — India fashion jewelry wholesale,India's first B2B wholesale fashion jewelry marketplace — global USA buyers,LOW-MEDIUM
Ameeyojewellery Marketing,Ameeyojewellery,India (ships worldwide),,,,,https://www.instagram.com/ameeyojewellery/,,@ameeyojewellery,Instagram wholesale — Indian jewelry,15K followers — manufacturers + exporters — worldwide shipping,MEDIUM — active Instagram business
IndianJewellery Wholesaler Marketing,Indian Jewellery Wholesaler,India (ships worldwide),,,,,https://www.instagram.com/indianjewellery.wholesaler/,,@indianjewellery.wholesaler,Instagram wholesale since 2012,QC checked bulk orders worldwide — 3791 followers,LOW-MEDIUM
