company,contact_name,email,phone,website,city,country,materials,supplier_country,evidence_url,source_tag
Gulf Marbles,,,,https://www.gulfmarbles.com/,Dubai,UAE,marble granite natural stone importer exporter trading wholesale,India,https://www.gulfmarbles.com/,web_research_2026-07-17
GLAZE Granite & Marble,,,,https://www.glaze.ae/,Sharjah,UAE,marble granite onyx 400 styles importer quarry-direct,India,https://www.glaze.ae/en/profile,web_research_2026-07-17
Fair Deal Marble & Granite,,,,https://fairdealuae.com/,Sharjah,UAE,marble granite natural stone tiles slabs supplier,,https://fairdealuae.com/,web_research_2026-07-17
Al Mina Marble & Granite (Mina Marbles),,,,https://minamarbles.com/,Dubai,UAE,natural reconstituted stone supply install distributor,,https://minamarbles.com/,web_research_2026-07-17
Sabta Granite,,,,https://www.sabtagranite.com/,Dubai,UAE,marble granite onyx travertine quartz distributor,,https://www.sabtagranite.com/,web_research_2026-07-17
Al Qemah Marble & Granite,,,,https://www.alqemahmarble.ae/,Dubai,UAE,marble granite natural stone supplier UAE,,https://www.alqemahmarble.ae/,web_research_2026-07-17
Exotic Stone Imports,,,,https://exoticstoneimports.com/,Atlanta,USA,granite marble slabs distributor imports quarry-direct wholesale,India,https://exoticstoneimports.com/granite/,web_research_2026-07-17
AGM Imports,,,,https://agmimports.com/,Atlanta,USA,granite marble quartz quartzite slabs largest Southeast distributor,,https://agmimports.com/,web_research_2026-07-17
Granite Global,,,,https://graniteglobalusa.com/,Charlotte,USA,natural stone quartz distributor family owned,,https://graniteglobalusa.com/,web_research_2026-07-17
JJ Granite,,,,https://www.jjgraniteinc.com/,USA,USA,granite marble quartz quartzite 1000+ slabs importer wholesaler,,https://www.jjgraniteinc.com/,web_research_2026-07-17
