date_added,run_id,company,country,domain_or_email,tier,status,notes
2026-07-16,run_2026-07-16_2115,Granite Liquidators,USA,graniteliquidators.com,1,pending,global_run_2026-07-15
2026-07-16,run_2026-07-16_2115,Colorado Stone Imports,USA,coloradostoneimports.com,1,pending,global_run_2026-07-15
2026-07-16,run_2026-07-16_2115,Paving Slabs Direct,UK,pavingslabsdirect.co.uk,2,pending,global_run_2026-07-15
2026-07-16,run_2026-07-16_2115,Paving Slabs UK (Westone),UK,pavingslabsuk.co.uk,2,pending,global_run_2026-07-15
2026-07-16,run_2026-07-16_2115,Stone Paving Direct,UK,stonepavingdirect.co.uk,2,pending,global_run_2026-07-15
2026-07-16,run_2026-07-16_2115,Natural Stone Sales,USA,naturalstonesales.us,2,pending,global_run_2026-07-15
2026-07-16,run_2026-07-16_2115,Cactus Stone,USA,cactusstone.com,2,pending,global_run_2026-07-15
2026-07-16,run_2026-07-16_2115,The Stone Collection,USA,thestonecollection.com,2,pending,global_run_2026-07-15
2026-07-16,run_2026-07-16_2115,Mexi-Tile / Stone Expo,USA,mexitile.com,2,pending,global_run_2026-07-15
2026-07-17,run_2026-07-17_0857,AkmaStone,Saudi Arabia,akmastone.com,1,pending,web_research_2026-07-16
2026-07-17,run_2026-07-17_0857,Fanar Marble Factory,Saudi Arabia,fanarmarble.com,1,pending,web_research_2026-07-16
2026-07-17,run_2026-07-17_0857,Saudi Marble & Granite Factory (SMG),Saudi Arabia,smg.com.sa,1,pending,web_research_2026-07-16
2026-07-17,run_2026-07-17_0857,Milestone Marble & Granite,Canada,milestonemarble.com,1,pending,web_research_2026-07-16
2026-07-17,run_2026-07-17_0857,A&V Granite,Canada,avgranite.com,1,pending,web_research_2026-07-16
2026-07-17,run_2026-07-17_0857,Crown Stone,Canada,crownstoneinc.com,1,pending,web_research_2026-07-16
2026-07-17,run_2026-07-17_0857,Hari Stones Limited,Canada,haristoneslimited.com,1,pending,web_research_2026-07-16
2026-07-17,run_2026-07-17_0857,Marble Trend,Canada,marbletrend.com,2,pending,web_research_2026-07-16
2026-07-17,run_2026-07-17_0857,Better Marble,Canada,bettermarble.ca,2,pending,web_research_2026-07-16
2026-07-17,run_2026-07-17_0857,Sia Stones,Germany,siastones.com,3,pending,web_research_2026-07-16
