company,contact_name,contact_title,email,phone,whatsapp,website,linkedin,city,country,materials,evidence_url,supplier_country,port,source_tag,why_qualified,draft_hook,score,tier,region,dedup_key,enrichment_status
AkmaStone,,,,,,https://akmastone.com/,,Jeddah,Saudi Arabia,marble granite quartzite travertine limestone importer fabricator,https://akmastone.com/jeddah/,India,,web_research_2026-07-16,stone importer; imports from India; priority geography; distributor/volume signal,,75,1,Gulf,akmastone.com,needs contact/email
Fanar Marble Factory,,,,,,https://www.fanarmarble.com/,,Riyadh,Saudi Arabia,marble granite importer factory 30000 sqm,https://www.fanarmarble.com/,India,,web_research_2026-07-16,stone importer; imports from India; priority geography; distributor/volume signal,,75,1,Gulf,fanarmarble.com,needs contact/email
Saudi Marble & Granite Factory (SMG),,,,,,https://www.smg.com.sa/,,Riyadh,Saudi Arabia,granite marble factory importer distributor large,https://www.smg.com.sa/,India,,web_research_2026-07-16,stone importer; imports from India; priority geography; distributor/volume signal,,75,1,Gulf,smg.com.sa,needs contact/email
Milestone Marble & Granite,,,,,,http://www.milestonemarble.com/,,Toronto,Canada,granite marble slabs 250 types importer warehouse,http://www.milestonemarble.com/,India,,web_research_2026-07-16,stone importer; imports from India; distributor/volume signal,,65,1,Americas,milestonemarble.com,needs contact/email
A&V Granite,,,,,,https://www.avgranite.com/,,Toronto,Canada,natural engineered stone importer distributor 500 slabs,https://www.avgranite.com/,India,,web_research_2026-07-16,stone importer; imports from India; distributor/volume signal,,65,1,Americas,avgranite.com,needs contact/email
Crown Stone,,,,,,https://www.crownstoneinc.com/,,Toronto,Canada,sandstone limestone granite wholesale owns India quarries,https://www.crownstoneinc.com/,India,,web_research_2026-07-16,stone importer; imports from India; distributor/volume signal,,65,1,Americas,crownstoneinc.com,needs contact/email
Hari Stones Limited,,,,,,https://www.haristoneslimited.com/,,Vancouver,Canada,quartzite granite marble natural stone importer distributor,https://www.haristoneslimited.com/,India,,web_research_2026-07-16,stone importer; imports from India; distributor/volume signal,,65,1,Americas,haristoneslimited.com,needs contact/email
Marble Trend,,,,,,https://marbletrend.com/,,Toronto,Canada,marble granite travertine porcelain slabs distributor,https://marbletrend.com/products-category/stone-slabs/,,,web_research_2026-07-16,stone importer; distributor/volume signal,,40,2,Americas,marbletrend.com,needs contact/email
Better Marble,,,,,,https://www.bettermarble.ca/,,Toronto,Canada,marble quartzite porcelain slabs importer showroom,https://www.bettermarble.ca/,,,web_research_2026-07-16,stone importer; distributor/volume signal,,40,2,Americas,bettermarble.ca,needs contact/email
Sia Stones,,,,,,https://www.siastones.com/,,,Germany,marble quartz travertine natural stone slabs supplier,https://www.siastones.com/global-delivery-network/germany/,,,web_research_2026-07-16,stone importer,,30,3,Europe,siastones.com,needs contact/email
