Name,Company,City,State,Phone,WhatsApp,Email,Website,Role,Imports From,Priority
Omni Surfaces Marketing,Omni Surfaces,Houston,TX,+17134635000,,sales@omnisurfaces.com,https://omnisurfaces.com,Importer & Distributor,"India, Italy, Brazil, Turkey",1
Tajams Marble Granite Marketing,Tajams Marble and Granite (TMG),Houston,TX,+17137509817,,sales@tajams.com,https://www.tajams.com,Importer & Distributor,Global,2
Stone Depot USA Marketing,Stone Depot USA,Carrollton (Dallas) / Alvin (Houston),TX,+12817711511,,info@stonedepotus.com,https://www.stonedepotus.com,Importer & Wholesaler since 1984,"India, Global",3
NSI Stone Trading Marketing,NSI Stone Trading,Brooklyn,NY,+17183813088,+19178770447,info@naturalstoneny.com,https://nsistonetrading.com,Importer & Distributor (2M+ sqft),"India, Global",4
KK Marble Importers Marketing,K&K Marble Importers,Bethpage (Long Island),NY,+15169325630,,kkmarble@verizon.net,http://kkmarbleimports.com,Importer Fabricator & Distributor (50+ yrs),"Italy, India, Global",5
Wholesale Marble Granite Marketing,Wholesale Marble & Granite Inc.,Brooklyn,NY,+17189983636,,info@wmgstone.com,https://wmgstone.com,Importer & Fabricator since 1983,"India, Italy, Global",6
Epic Stones Marketing,Epic Stones,Dallas,TX,+14694209380,,,https://epicstones.com,Importer & Distributor,"India, Brazil, China, Spain, Italy",7
LRC Marble Granite Marketing,LRC Marble and Granite,Austin,TX,+16306070966,,,https://www.graniteatx.com,Importer (active Oct 2025 shipments),India,8
KLZ Stone Supply Marketing,KLZ Stone Supply Inc.,Dallas/Fort Worth,TX,,,,https://www.klzstone.com,Distributor (30000+ slabs),"India, Brazil, Turkey",9
Verona Marble Marketing,Verona Marble Company,Dallas,TX,,,,https://vmcstone.com,Importer & Distributor,Global,10
Maestro Surfaces Marketing,Maestro Surfaces,Houston,TX,,,,https://maestrosurfaces.com,Importer & Wholesaler (100000 sqft),"India, Brazil, Global",11
Avani Granite Marble Marketing,Avani Granite & Marble,Houston,TX,,,,https://www.importyeti.com/company/avani-granite-marble-houston-tx,Importer (ImportYeti verified),India,12
Quality Marble Tile Marketing,Quality Marble Tile & Granite,Houston,TX,,,,https://www.importyeti.com/company/quality-marble-tile-granite,Importer (ImportYeti verified),India,13
Shenoy Granite Marble Marketing,Shenoy Granite & Marble,Austin,TX,,,,https://www.importyeti.com/company/shenoy-granite-marble,Importer (ImportYeti verified),India,14
UMI Stone Marketing,UMI Stone (United Materials Inc.),Brooklyn & Farmingdale,NY,,,,https://umistone.com,Importer & Wholesale Distributor,"India, Global",15
Mackson Marble Marketing,Mackson Marble,Oyster Bay (Long Island),NY,,,,https://macksonmarble.com,Importer & Distributor,Global,16
New York Stone Marketing,New York Stone,Manhattan,NY,,,,https://www.newyorkstone.com,Tri-state Distributor,Global,17
AGM LZ Granite Marketing,AGM L&Z Granite Marble Inc.,Brooklyn,NY,,,,https://www.thebluebook.com/iProView/1333208/agm-l-z-granite-marble-inc/subcontractors/,Wholesaler & Distributor,"India, Global",18
Mega Marble Marketing,Mega Marble,Brooklyn/Queens/Long Island,NY,,,,https://megamarble.com,Stone Yard & Distributor,Global,19
Industrial Granitos Marketing,Industrial Granitos Y Marmoles,New York,NY,,,,https://www.importyeti.com/company/industrial-granitos-y-marmoles,Importer (ImportYeti verified),"Latin America, India",20
