Name,Company,City,State,Phone,WhatsApp,Email,Website,LinkedIn,Instagram,Role,Imports_From,Priority,Source
Omni Surfaces Marketing,Omni Surfaces,Houston,TX,+17134635000,,sales@omnisurfaces.com [VERIFIED],https://omnisurfaces.com,https://www.linkedin.com/company/omni-surfaces [LIKELY],https://www.instagram.com/omni_surfaces/ [VERIFIED],Importer & Distributor,"India, Italy, Brazil, Turkey",1,existing
Tajams Marble Granite Marketing,Tajams Marble and Granite (TMG),Houston,TX,+17137509817,,sales@tajams.com [VERIFIED],https://www.tajams.com,https://www.linkedin.com/company/tajams-marble-granite [VERIFIED],https://www.instagram.com/tajamsgranite/ [VERIFIED],Importer & Distributor,Global,2,existing
Stone Depot USA Marketing,Stone Depot USA,"Carrollton (Dallas), Alvin (Houston)",TX,+12817711511,,info@stonedepotus.com [VERIFIED],https://www.stonedepotus.com,https://www.linkedin.com/company/stone-depot-of-tx [LIKELY],,Importer & Wholesaler since 1984,"India, Global",3,existing
NSI Stone Trading Marketing,NSI Stone Trading,Brooklyn,NY,+17183813088,+19178770447,info@naturalstoneny.com [VERIFIED],https://nsistonetrading.com,https://www.linkedin.com/company/nsi-stone-trading [VERIFIED],https://www.instagram.com/nsi_stonetrading/ [VERIFIED],Importer & Distributor (2M+ sqft),"India, Global",4,existing
KK Marble Importers Marketing,K&K Marble Importers,Bethpage (Long Island),NY,+15169325630,,kkmarble@verizon.net [VERIFIED],http://kkmarbleimports.com,,,Importer Fabricator & Distributor (50+ yrs),"Italy, India, Global",5,existing
Wholesale Marble Granite Marketing,Wholesale Marble & Granite Inc.,Brooklyn,NY,+17189983636,,info@wmgstone.com [VERIFIED],https://wmgstone.com,,,Importer & Fabricator since 1983,"India, Italy, Global",6,existing
Epic Stones Marketing,Epic Stones,Dallas,TX,+14694209380,,zee@epicstones.com [LIKELY],https://epicstones.com,,,Importer & Distributor,"India, Brazil, China, Spain, Italy",7,existing
LRC Marble Granite Marketing,LRC Marble and Granite (CRS Granite),Austin,TX,+15126406401,,shivam@graniteatx.com [LIKELY],https://www.graniteatx.com,,,Importer (active Oct 2025 shipments),India,8,existing
KLZ Stone Supply Marketing,KLZ Stone Supply Inc.,Dallas/Fort Worth,TX,+19728076187,,info@klzstone.com [LIKELY],https://www.klzstone.com,https://www.linkedin.com/company/klz-stone-supply-denver [LIKELY],https://www.instagram.com/klzstonesupply/ [VERIFIED],Distributor (30000+ slabs),"India, Brazil, Turkey",9,existing
Verona Marble Marketing,Verona Marble Company,Dallas,TX,+12143818405,,info@vmcstone.com [VERIFIED],https://vmcstone.com,https://www.linkedin.com/company/verona-marble-company [VERIFIED],,Importer & Distributor,Global,10,existing
Maestro Surfaces Marketing,Maestro Surfaces,Houston,TX,+13462005311,,msinquiry@maestrosurfaces.com [VERIFIED],https://maestrosurfaces.com,https://www.linkedin.com/company/maestro-surfaces [VERIFIED],https://www.instagram.com/maestrosurfaces/ [VERIFIED],Importer & Wholesaler (100000 sqft),"India, Brazil, Global",11,existing
Avani Granite Marble Marketing,Avani Granite & Marble,Houston,TX,+17136831640,,harish@avanigranite.com [LIKELY],https://avanigranites.com,,,Importer (ImportYeti verified),India,12,existing
Quality Marble Tile Marketing,Quality Marble Tile & Granite,Houston,TX,+12818886262,,, https://quality-tiles.com,,,Importer (ImportYeti verified),India,13,existing
Shenoy Granite Marble Marketing,Shenoy Granites & Marble Inc.,Austin,TX,+15124527900,,,http://www.shenoygranites.com,,,Importer (ImportYeti verified),India,14,existing
UMI Stone Marketing,UMI Stone (United Materials Inc.),Brooklyn & Farmingdale,NY,+15167772700,,, https://umistone.com,https://www.linkedin.com/company/umithesource [VERIFIED],,Importer & Wholesale Distributor,"India, Global",15,existing
Mackson Marble Marketing,Mackson Marble,Oyster Bay (Long Island),NY,+16313909490,,,https://macksonmarble.com,,,Importer & Distributor,Global,16,existing
New York Stone Marketing,New York Stone,Manhattan,NY,+12122561500,,info@newyorkstone.com [VERIFIED],https://www.newyorkstone.com,https://www.linkedin.com/company/new-york-stone-and-tile-llc [VERIFIED],,Tri-state Distributor,Global,17,existing
AGM LZ Granite Marketing,AGM L&Z Granite Marble Inc.,Brooklyn,NY,,,,https://www.thebluebook.com/iProView/1333208/agm-l-z-granite-marble-inc/subcontractors/,,,Wholesaler & Distributor,"India, Global",18,existing
Mega Marble Marketing,Mega Marble,Brooklyn/Queens/Long Island,NY,+18006342315,,megamarble@gmail.com [UNVERIFIED],https://megamarble.com,,,Stone Yard & Distributor,Global,19,existing
Industrial Granitos Marketing,Industrial Granitos Y Marmoles,New York,NY,,,,https://www.importyeti.com/company/industrial-granitos-y-marmoles,,,Importer (ImportYeti verified),"Latin America, India",20,existing
Francini Inc Marketing,Francini Inc.,Sun Valley (Los Angeles),CA,+18187675899,,info@francinimarble.com [VERIFIED],https://francinimarble.com,https://www.linkedin.com/company/francini-inc [VERIFIED],https://www.instagram.com/francinimarble/ [VERIFIED],Importer & Distributor (multi-state),"India, Brazil, Italy, Turkey, Global",1,new_find
Marble Express Marketing,Marble Express Inc.,Van Nuys (Los Angeles),CA,+18189891261,,,https://marbleexpress.com,https://www.linkedin.com/company/marble-express [LIKELY],https://www.instagram.com/marbleexpressla/ [VERIFIED],Importer (30+ years) 200000 sqft,"India, Global",2,new_find
ST Stones Marketing,ST Stones Inc.,Pompano Beach / Miami,FL,+19548739965,,info@ststones.com [VERIFIED],https://ststones.com,https://www.linkedin.com/company/st-stones [VERIFIED],,Importer & Wholesaler direct from quarry,"India, Brazil",3,new_find
