First_Name,Last_Name,Company,Phone_E164,WhatsApp,Country,Region,Product_Category,Priority_Tier
Omni,Surfaces,Omni Surfaces,+17134635000,,USA,USA,Stone Importer - Distributor,Tier 1
Tajams,Marble,Tajams Marble and Granite (TMG),+17137509817,,USA,USA,Stone Importer - Distributor,Tier 1
Stone,Depot,Stone Depot USA,+12817711511,,USA,USA,Stone Importer - Wholesaler,Tier 1
NSI,Stone,NSI Stone Trading,+17183813088,+19178770447,USA,USA,Stone Importer - Distributor,Tier 1
KK,Marble,K&K Marble Importers,+15169325630,,USA,USA,Stone Importer - Fabricator,Tier 1
Wholesale,Marble,Wholesale Marble & Granite Inc.,+17189983636,,USA,USA,Stone Importer - Fabricator,Tier 1
Epic,Stones,Epic Stones,+14694209380,,USA,USA,Stone Importer - Distributor,Tier 1
LRC,Marble,LRC Marble and Granite,+15126406401,,USA,USA,Stone Importer,Tier 1
KLZ,Stone,KLZ Stone Supply Inc.,+19728076187,,USA,USA,Stone Distributor,Tier 1
Verona,Marble,Verona Marble Company,+12143818405,,USA,USA,Stone Importer - Distributor,Tier 1
Maestro,Surfaces,Maestro Surfaces,+13462005311,,USA,USA,Stone Importer - Wholesaler,Tier 1
Avani,Granite,Avani Granite & Marble,+17136831640,,USA,USA,Stone Importer,Tier 1
Quality,Marble,Quality Marble Tile & Granite,+12818886262,,USA,USA,Stone Importer,Tier 2
Shenoy,Granite,Shenoy Granites & Marble Inc.,+15124527900,,USA,USA,Stone Importer,Tier 2
UMI,Stone,UMI Stone (United Materials Inc.),+15167772700,,USA,USA,Stone Importer - Wholesaler,Tier 2
Mackson,Marble,Mackson Marble,+16313909490,,USA,USA,Stone Importer - Distributor,Tier 2
New York,Stone,New York Stone,+12122561500,,USA,USA,Stone Distributor,Tier 2
Mega,Marble,Mega Marble,+18006342315,,USA,USA,Stone Distributor,Tier 2 - FLAG toll-free
Francini,Inc,Francini Inc.,+18187675899,,USA,USA,Stone Importer - Distributor,Tier 1
Marble,Express,Marble Express Inc.,+18189891261,,USA,USA,Stone Importer,Tier 1
ST,Stones,ST Stones Inc.,+19548739965,,USA,USA,Stone Importer - Wholesaler,Tier 1
Primestones,,Primestones,+15617278000,,USA,USA,Stone Importer - Distributor,Tier 1
Ikon,Stone,Ikon Stone LLC,+14049636490,,USA,USA,Stone Importer - Distributor,Tier 1
Builderstone,Global,BuilderStone Global LLC,+14705512092,,USA,USA,Stone Importer - Distributor,Tier 1
MGSI,,Marble & Granite Supply of Illinois,+18479721161,,USA,USA,Stone Importer - Wholesaler,Tier 1
UGM,Surfaces,Universal Granite & Marble (UGM Surfaces),+17732685400,,USA,USA,Stone Importer - Distributor,Tier 1
NHG,Naturstein,NHG Naturstein Handels Gesellschaft mbH,+492018351300,,Germany,EU,Stone Wholesaler - Importer,Tier 1
Ninos,Shamon,Ninos Naturstein & Fliesen,+4925629171710,,Germany,EU,Stone Importer - Retailer,Tier 1
Seltra,Natursteinhandel,Seltra Natursteinhandel GmbH,+497022407090,,Germany,EU,Stone Trader,Tier 1
Naturstein,Direkt,Naturstein-Direkt GmbH & Co. KG,+4991419205000,,Germany,EU,Stone Importer,Tier 2
Schädler,Natursteine,Natursteine Schädler,+498395633000,,Germany,EU,Stone Specialist,Tier 3
SEMAR,,Piedras y Mármoles SEMAR S.L.,+34965476503,,Spain,EU,Marble Distributor - Importer,Tier 1
Santes,Piedra,Santes Piedra Natural S.L.,+34961262069,,Spain,EU,Stone Wholesaler,Tier 1
TINO,Natural Stone,TINO Natural Stone,+34952906149,,Spain,EU,Premium Stone Provider,Tier 2
Imperial,Marble,Imperial Marble & Granite Importers Ltd,+442084526331,,UK,EU,Marble Granite Importer,Tier 1
