Name,Company,City,Country,Phone,WhatsApp,Email,Website,LinkedIn,Instagram,Role,Imports_From,Priority
NHG Naturstein Marketing,NHG Naturstein Handels Gesellschaft mbH,Essen,Germany,+492018351300,,info@nhg-naturstein.de,https://nhg-naturstein.de,,,"Natural stone wholesaler/importer",India + multiple,1
Ninos Shamon Marketing,Ninos Naturstein & Fliesen,Gronau,Germany,+4925629171710,,info@ninos-naturstein.com,https://www.ninos-naturstein.com,,,"Natural stone importer and tile retailer","India, China, Brazil, Spain, Portugal, Italy",1
Seltra Natursteinhandel Marketing,Seltra Natursteinhandel GmbH,Nürtingen,Germany,+497022407090,,marketing@seltra.de,https://www.seltra.de,https://www.linkedin.com/company/seltra-natursteinhandel-gmbh,,"Natural stone and outdoor ceramics trader","India, China, Brazil, Vietnam, Turkey",1
Naturstein-Direkt Marketing,Naturstein-Direkt GmbH & Co. KG,Bergen,Germany,+4991419205000,,onlineshop@naturstein-direkt.de,https://www.naturstein-direkt.de,,,Stone importer (slate quartzite marble granite),"India + multiple",2
Ahmed Gharib Marketing,Ahmed Gharib Import-Export-Handel,Villingen-Schwenningen,Germany,,,,,https://www.linkedin.com/in/ahmed-gharib-trade/,,"Import-export natural stones marble granite",India + multiple,2
Heinz Alfs Marketing,Heinz Alfs GmbH & Co. KG,Baden-Baden,Germany,,,,,https://www.linkedin.com/company/heinz-alfs-gmbh-&-co.-kg,,"Natural stone importer wholesaler distributor","India + multiple — 65+ yrs trading",2
Schädler Natursteine Marketing,Natursteine Schädler,Rot an der Rot,Germany,+498395633000,,info@natursteine-schaedler.de,https://www.natursteine-schaedler.de,,,"Natural stone specialist stonemason",Germany + imports,3
SEMAR Marketing,Piedras y Mármoles SEMAR S.L.,Algueña (Alicante),Spain,+34965476503,,semar@pymsemar.com,https://pymsemar.com,,,"Marble distributor importer","Turkey, India, Egypt",1
Santes Piedra Natural Marketing,Santes Piedra Natural S.L.,Albal (Valencia),Spain,+34961262069,,,https://santespiedranatural.com,https://www.facebook.com/SantesPiedraNatural/,,"Natural stone wholesaler distributor","India (confirmed — visited India for sourcing)",1
TINO Natural Stone Marketing,TINO Natural Stone (Luxury Stone Tino SL),Marbella,Spain,+34952906149,,sales@tinostone.com,https://tinostone.com,,,"Premium natural stone provider global","India + multiple",2
Imperial Marble Granite Importers Marketing,Imperial Marble & Granite Importers Ltd,London,UK,+442084526331,,,"https://www.imperial-marble.co.uk",https://www.stonecontact.com/suppliers-129109/imperial-marble-granite-importers,,"Marble granite importer wholesaler 20+ yrs","Italy, Spain, Portugal, Turkey, Brazil, India, Zimbabwe, SA",1
Global Granite Marketing,Global Granite & Trading Co. Ltd,Swanley (Kent),UK,+441322660550,,info@globalgranite.co.uk,https://www.globalgranite.co.uk,,https://www.instagram.com/globalgraniteuk/,"Stone importer parent co in India (Toshniwal Exports)","India — parent company in India",1
International Stones UK Marketing,International Stones (UK) Ltd,Rotherham,UK,+441142855717,,sales@istones.co.uk,https://www.istones.co.uk,https://uk.linkedin.com/company/international-stones-uk-ltd,https://www.instagram.com/istones_uk/,"Independent family-run stone importer wholesaler","India + multiple",2
Interstones UK Marketing,Interstones UK,Iver Heath,UK,+442080902090,,office@interstones.co.uk,https://www.interstones.co.uk,,,"Marble granite quartzite porcelain wholesaler","India + multiple",2
Imperial Stone Group Marketing,Imperial Stone Group Ltd,London,UK,+442034096253,,michael@imperialstonegroup.com,https://www.imperialstonegroup.com,https://uk.linkedin.com/company/imperial-stone-group-ltd,,"Premium stone slab importer wholesaler","India + multiple",2
Marble City Marketing,Marble City Ltd,London (Wandsworth),UK,+442088711191,,,"https://www.marblecity.co.uk",,,"Natural stone worktop supplier fabricator",Multiple — likely India,3
Pietre di Rapolano Marketing,Pietre di Rapolano SRL,Florence,Italy,+390552326120,,,https://www.pietredirapolano.com,,,"Marble travertine supply and installation Italy","Italy + imports",3
Acemar Stone Italy Marketing,Acemar Stone,Verona,Italy,+390452457128,,info@acemarstone.com,https://acemarstone.com,,,"Marble granite onyx supplier — since 1956","Italy quarries + imports",2
BMB Marketing,BMB (Belgian Marble and Granite Companies),Wortegem-Petegem,Belgium,+3256680561,,,https://www.bmb.be,,,"Wholesale stone sawmill Benelux + France","India, Brazil, China, Spain, Turkey, etc.",1
Lenarduzzi Natuursteen Marketing,Lenarduzzi Natuursteen B.V.,Soest (Utrecht),Netherlands,+31356014727,,,https://www.lenarduzzi.eu,,,"Family natural stone designer supplier","India + multiple",2
Azul Boquira Marketing,Azul Boquira Natuursteen B.V.,Gemert,Netherlands,,,,https://www.azulboquira.com,,,"Natural stone processing importer (granite quartzite marble)","India + multiple",2
Snijders Natuursteen Marketing,Snijders Natuursteen Almere B.V.,Almere,Netherlands,+31207113050,,,https://www.snijders.com,,,"Natural stone wholesaler — 14% NL granite import share","India (top origin — 100% of marble items)",1
